	class	emotion	onomatopoeia	pitch	simile	timbre
0	female speech, woman speaking	evoking communication, expression, or storytelling	sounds like conversation, narration, and expression	pitch is natural, clear, and medium	like a clear and articulate communication	timbre is smooth and articulate
1	playing tennis	evoking competitiveness and athleticism	sounds like swish, thwack, and bounce	pitch is sharp, quick, and medium-high	like a rhythmic and energetic exchange of hits	timbre is a sharp and percussive impact
2	people marching	evoking unity, determination, or protest	sounds like stomp, march, and chant	pitch is steady, rhythmic, and medium	like a synchronized and powerful movement	timbre is a collective and percussive thud
3	wind noise	evoking a sense of nature and openness	sounds like howl, whistle, and rustle	pitch is variable, ranging from low to high	like a constant and swirling movement of air	timbre is a rushing, whooshing sound
4	car engine starting	evoking anticipation and readiness	sounds like vroom, rumble, and growl	pitch is low, rumbling, and gradually rises	like a gradual build-up of power and ignition	timbre is a deep and throaty rumble
5	people belly laughing	evoking uncontrollable laughter and happiness	sounds like HAHAHA, chuckle, and guffaw	pitch is hearty, deep, and varied	like a contagious eruption of joy and amusement	timbre is a boisterous and infectious burst of laughter
6	waterfall burbling	evoking tranquility and serenity	sounds like babble, gush, and splash	pitch is soothing, gentle, and low	like a continuous and rhythmic flow of water	timbre is a bubbling and gurgling flow
7	cricket chirping	evoking tranquility or a nighttime ambiance	sounds like chirp, chirp, chirp	pitch is high-pitched, rhythmic, and repetitive	like a rhythmic and soothing melody	timbre is a chirping, buzzing, and trilling sound
8	alarm clock ringing	evoking urgency or annoyance	sounds like beep, buzz, and ring	pitch is sharp, piercing, and high	like a persistent and insistent wake-up call	timbre is a repetitive and mechanical buzzing
9	foghorn	evoking a sense of warning or maritime atmosphere	sounds like bellow, blast, and reverberation	pitch is deep, low, and resonant	like a deep and powerful horn echoing through the air	timbre is a deep, booming, and vibrating tone
10	people battle cry	evoking courage, aggression, and unity	sounds like war cry, battle shout, and primal scream	pitch is fierce, powerful, and high	like a collective and intense expression of strength and determination	timbre is a combination of shouting, yelling, and roaring
11	female singing	evoking a range of emotions from joy to sadness	sounds like soaring, trilling, and emotive	pitch is melodic, expressive, and variable	like a captivating and expressive vocal performance	timbre is rich, resonant, and emotive
12	bee, wasp, etc. buzzing	evoking alertness or caution	sounds like buzz, hum, and whir	pitch is high-pitched, buzzing, and rapid	like a persistent and rapid buzzing sound	timbre is a buzzing, vibrating sound
13	people clapping	evoking joy, celebration, or approval	sounds like clap, applause, and cheer	pitch is sharp, quick, and variable	like a rhythmic and enthusiastic expression of appreciation	timbre is a sharp and percussive impact with a mix of frequencies
